2021-02-24 08:13:02 Line: 11, : Request start: ::1
2021-02-24 08:13:02 Line: 245, APISubiektGT\SubiektGT\Product->addUsluga: Utworzono produkt: !CODE42771
2021-02-24 08:13:02 Line: 96, APISubiektGT\SubiektGT\product->addUsluga: Request finish: ::1
2021-02-24 08:55:41 Line: 11, : Request start: ::1
2021-02-24 08:56:02 Line: 11, : Request start: ::1
2021-02-24 08:56:02 Line: 245, APISubiektGT\SubiektGT\Product->addUsluga: Utworzono produkt: !CODE2425
2021-02-24 08:56:02 Line: 96, APISubiektGT\SubiektGT\product->addUsluga: Request finish: ::1
2021-02-24 09:02:15 Line: 11, : Request start: ::1
2021-02-24 09:02:57 Line: 11, : Request start: ::1
2021-02-24 09:10:30 Line: 11, : Request start: ::1
2021-02-24 09:12:34 Line: 11, : Request start: ::1
2021-02-24 09:13:14 Line: 11, : Request start: ::1
2021-02-24 09:13:22 Line: 11, : Request start: ::1
2021-02-24 09:13:53 Line: 11, : Request start: ::1
2021-02-24 09:13:54 Line: 226, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE93845
2021-02-24 09:13:54 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 09:19:05 Line: 11, : Request start: ::1
2021-02-24 09:19:06 Line: 226, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE4542
2021-02-24 09:19:06 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 09:21:19 Line: 11, : Request start: ::1
2021-02-24 09:35:18 Line: 11, : Request start: ::1
2021-02-24 09:35:18 Line: 227, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE59499
2021-02-24 09:35:18 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 09:36:24 Line: 11, : Request start: ::1
2021-02-24 09:36:24 Line: 257, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: !CODE4542
2021-02-24 09:36:24 Line: 96, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2021-02-24 09:37:42 Line: 11, : Request start: ::1
2021-02-24 09:37:42 Line: 257, APISubiektGT\SubiektGT\Product->update: Zaktualizowano produkt: !CODE4542
2021-02-24 09:37:42 Line: 96, APISubiektGT\SubiektGT\product->update: Request finish: ::1
2021-02-24 09:43:20 Line: 11, : Request start: ::1
2021-02-24 09:45:37 Line: 11, : Request start: ::1
2021-02-24 09:45:37 Line: 227, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE26616
2021-02-24 09:45:37 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 09:45:45 Line: 11, : Request start: ::1
2021-02-24 09:46:05 Line: 11, : Request start: ::1
2021-02-24 09:46:18 Line: 11, : Request start: ::1
2021-02-24 09:46:34 Line: 11, : Request start: ::1
2021-02-24 09:46:48 Line: 11, : Request start: ::1
2021-02-24 09:46:48 Line: 227, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE88757
2021-02-24 09:46:48 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 09:59:24 Line: 11, : Request start: ::1
2021-02-24 10:00:04 Line: 11, : Request start: ::1
2021-02-24 10:00:04 Line: 227, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: 2402 TEST
2021-02-24 10:00:04 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 10:10:08 Line: 11, : Request start: ::1
2021-02-24 10:10:08 Line: 229, APISubiektGT\SubiektGT\Product->addTowar: Utworzono produkt: !CODE30768
2021-02-24 10:10:08 Line: 96, APISubiektGT\SubiektGT\product->addTowar: Request finish: ::1
2021-02-24 10:12:48 Line: 11, : Request start: ::1
2021-02-24 10:13:08 Line: 11, : Request start: ::1
2021-02-24 10:13:25 Line: 11, : Request start: ::1
2021-02-24 10:15:28 Line: 11, : Request start: ::1
2021-02-24 10:15:39 Line: 11, : Request start: ::1
2021-02-24 10:16:31 Line: 11, : Request start: ::1
2021-02-24 10:17:34 Line: 11, : Request start: ::1
2021-02-24 10:18:33 Line: 11, : Request start: ::1
