2021-03-29 08:01:13 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:01:13 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:01:19 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:01:19 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:01:27 Line: 13, : Request start: 185.38.251.200
2021-03-29 08:02:09 Line: 131, APISubiektGT\SubiektGT\products->getAllPriceCalculations: Request finish: 185.38.251.200
2021-03-29 08:04:18 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:18 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:23 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:23 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:25 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:25 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:26 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:31 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:31 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:34 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:34 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:40 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:40 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:44 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:44 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:50 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:52 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:52 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:55 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:55 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:56 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:56 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:04:59 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:04:59 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:03 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:03 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:03 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:03 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:06 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:06 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:11 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:11 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:14 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:14 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:18 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:18 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:18 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:18 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:21 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:21 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:26 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:26 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:26 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:29 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:29 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:33 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:33 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:34 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:34 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:36 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:36 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:41 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:41 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:42 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:42 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:43 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:43 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:48 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:48 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:49 Line: 13, : Request start: 185.38.251.200
2021-03-29 08:05:50 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:53 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:53 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:05:54 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:05:54 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:02 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:02 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:05 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:05 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:09 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:09 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:13 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:13 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:14 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:14 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:16 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:16 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:22 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:22 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:24 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:24 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:29 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:29 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:32 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:32 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:39 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:39 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:44 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:44 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:45 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:45 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:50 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:50 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:51 Line: 13, : Request start: 188.68.224.138
2021-03-29 08:06:51 Line: 131, APISubiektGT\SubiektGT\products->getListAviByCode: Request finish: 188.68.224.138
2021-03-29 08:06:56 Line: 131, APISubiektGT\SubiektGT\products->updateprice: Request finish: 185.38.251.200
2021-03-29 08:07:36 Line: 13, : Request start: 188.68.224.138
