2021-02-04 12:42:02 Line: 46, APISubiektGT\Config->load: Nie można załadować konfiguracji z pliku:C:\xampp\htdocs\subiekt\api-subiekt-gt\public/../config/api-subiekt-gt.ini
2021-02-04 12:42:23 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 12:44:17 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 12:48:14 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 12:53:44 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:02:02 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:03:52 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:04:48 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:05:36 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:06:09 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [2].
2021-02-04 13:22:00 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'Szef'.
2021-02-04 13:22:10 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'sa'.
2021-02-04 13:22:19 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'ZARZ?DZANIE NT\SYSTEM'.
2021-02-04 13:24:55 Line: 56, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\subiektgt.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-04 13:25:06 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'ZARZ?DZANIE NT\SYSTEM'.
2021-02-04 13:25:18 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'ZARZ?DZANIE NT\SYSTEM'.
2021-02-04 13:25:27 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'ZARZ?DZANIE NT\SYSTEM'.
2021-02-04 13:26:40 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'ZARZ?DZANIE NT\SYSTEM'.
2021-02-04 13:26:47 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'PAWEL\user'.
2021-02-04 13:26:59 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'admin'.
2021-02-04 13:27:10 Line: 17, C:\xampp\htdocs\subiekt\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Login failed for user 'admin'.
