2021-02-28 12:26:27 Line: 33, C:\xampp\htdocs\zapi\drtusz\public\api\index.php: JSON read: Syntax error
2021-02-28 12:28:14 Line: 70, C:\xampp\htdocs\zapi\drtusz\public\api\index.php: Nieprawid³owy klucz API - api_key!
2021-02-28 12:28:50 Line: 70, C:\xampp\htdocs\zapi\drtusz\public\api\index.php: Nieprawid³owy klucz API - api_key!
2021-02-28 17:03:06 Line: 127, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\order.php: Nie mo¿na utworzyæ dokumentu sprzeda¿y. 0 wartoœæ dokumentu.
2021-02-28 17:05:51 Line: 127, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\order.php: Nie mo¿na utworzyæ dokumentu sprzeda¿y. 0 wartoœæ dokumentu.
2021-02-28 22:44:47 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:44:59 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:46:21 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:47:13 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:48:13 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:48:20 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:48:22 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:49:44 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
2021-02-28 22:50:02 Line: 80, C:\xampp\htdocs\zapi\drtusz\src\apisubiektgt\subiektgt\customer.php: <b>Source:</b> Unknown<br/><b>Description:</b> Unknown
